ind code,name
322,Resin synthetic rubber and artificial and synthetic fibres [BS325200]
266,Owner occupied dwellings [BS53C]
110,Fishing hunting and trapping [BS114]
88,Educational services [NP610000]
300,Pulp paper and paperboard mills [BS322100]
285,Pharmaceutical and medicine manufacturing [BS32540]
45,Cannabis production (licensed) [BS111CL0]
35,Basic chemical manufacturing [BS32510]
273,Periodical book and directory publishers [BS5111A0]
144,Industrial commercial and machinery manufacturing [BS333A00]
109,Fishing hunting and trapping [BS11400]
194,Motor vehicle seating and interior trim manufacturing [BS336360]
84,Educational services (except universities) [GS611B0]
207,Non-profit institutions serving households [NP000]
137,Heavy-duty truck manufacturing [BS336120]
115,Forestry and logging [BS11300]
21,Animal production and aquaculture [BS112000]
79,Data processing hosting and related services [BS518000]
214,Nursing and residential care facilities [GS62300]
307,Railroad rolling stock manufacturing [BS33650]
289,Plastic product manufacturing [BS32610]
327,Rubber product manufacturing [BS326200]
36,Boiler tank and shipping container manufacturing [BS332400]
33,Banking and other depository credit intermediation [BS5221A0]
337,Ship and boat building [BS33660]
17,Amusement and recreation industries [BS713A00]
157,Lessors of real estate [BS53110]
98,Electronics and appliance stores [BS443000]
34,Basic chemical manufacturing [BS325100]
52,Cement and concrete product manufacturing [BS32730]
66,Computer systems design and other professional scientific [BS541D0]
272,Performing arts spectator sports and related industries [BS71A000]
97,Electronic product manufacturing [BS334B0]
68,Converted paper product manufacturing [BS322200]
167,Metal ore mining [BS21220]
380,Utilities [BS220]
394,Wineries and distilleries [BS3121A]
200,Newspaper publishers [BS511110]
7,Advertising public relations and related services [BS541800]
26,Arts entertainment and recreation [BS710]
198,Natural gas distribution water sewage and other systems [BS221A0]
369,Transit ground passenger and scenic and sightseeing [BS48B00]
290,Postal service [BS491000]
176,Miscellaneous non-profit institutions serving households [NPA0000]
224,Oil and gas extraction [BS21100]
377,Universities [GS611300]
202,Non-depository credit intermediation and activities related [BS522A00]
199,Newspaper periodical book and directory publishers [BS511100]
331,Scientific research and development services [BS541700]
143,Household appliance manufacturing [BS33520]
281,Petroleum and coal product manufacturing [BS32400]
288,Plastic product manufacturing [BS326100]
92,Electric power engineering construction [BS23C30]
301,Pulp paper and paperboard mills [BS32210]
153,Legal accounting and related services [BS541A00]
86,Educational services [BS61000]
93,Electric power generation transmission and distribution [BS221100]
370,Transportation and warehousing [BS4B0]
111,Food and beverage stores [BS445000]
58,Coating engraving cold and heat treating [BS332800]
25,Arts entertainment and recreation [BS71000]
340,Social assistance [NP624000]
211,Non-store retailers [BS454000]
277,Pesticide fertilizer and other agricultural chemical [BS325300]
317,Repair construction [BS23D00]
95,Electrical equipment and component manufacturing [BS335A0]
101,Engine turbine and power transmission equipment [BS333600]
159,Machine shops turned product manufacturing [BS332700]
150,Iron and steel mills and ferro-alloy manufacturing [BS331100]
149,Investigation and security services [BS561600]
40,Building material and supplies merchant wholesalers [BS416000]
279,Petroleum and coal product manufacturing (except refineries) [BS3241A0]
310,Religious organizations [NP81310]
218,Offices of physicians [BS621100]
185,Motor vehicle body and trailer manufacturing [BS33620]
48,Cannabis production (unlicensed) [BS111CU]
296,Printing and related support activities [BS32300]
1,Accommodation and food services [BS72000]
314,Repair and maintenance (except automotive) [BS811A00]
324,Retail trade (except cannabis) [BS4AA000]
350,Stone mining and quarrying [BS212310]
147,Insurance carriers [BS524100]
104,Facilities and other support services [BS561A00]
358,Support activities for mining and oil and gas extraction [BS213000]
60,Communication engineering construction [BS23C400]
278,Pesticide fertilizer and other agricultural chemical [BS32530]
9,Aerospace product and parts manufacturing [BS336400]
282,Petroleum and petroleum products merchant wholesalers [BS412000]
354,Support activities for agriculture and forestry [BS115]
16,Ambulatory health care services [NP621000]
80,Defence services [GS911100]
291,Postal service couriers and messengers [BS49A000]
10,Aerospace product and parts manufacturing [BS33640]
82,Diamond mining [BS212392]
222,Oil and gas extraction (except oil sands) [BS211110]
105,Farm product merchant wholesalers [BS411000]
39,Building material and garden equipment and supplies dealers [BS444000]
284,Pharmaceutical and medicine manufacturing [BS325400]
184,Motor vehicle body and trailer manufacturing [BS336200]
125,Gasoline stations [BS447000]
210,Non-residential building construction [BS23B]
129,Government health services [GS620]
381,Veneer plywood and engineered wood product manufacturing [BS321200]
44,Business-to-business electronic markets and agents [BS419000]
164,Meat product manufacturing [BS311600]
320,Residential building construction [BS23A00]
388,Water transportation [BS483000]
378,Universities [GS61130]
53,Clothing and clothing accessories stores [BS448000]
303,Radio and television broadcasting [BS51510]
338,Soap cleaning compound and toilet preparation manufacturing [BS325600]
91,Electric power engineering construction [BS23C300]
8,Advertising public relations and related services [BS54180]
85,Educational services [BS610000]
321,Residential building construction [BS23A]
298,Professional scientific and technical services [BS540]
361,Support activities for transportation [BS488000]
336,Ship and boat building [BS336600]
102,Engineering construction [BS23C]
175,Miscellaneous non-profit institutions serving households [NPA00000]
